frame type (0: base 1: event), frame identifier, segment number, frame size, event occurred, map to cam samp. time
0,0,-1,110240,0.075,0.075
0,0,0,12304,-100,-100
0,0,1,12304,-100,-100
0,0,2,12304,-100,-100
0,0,3,12304,-100,-100
0,0,4,12304,-100,-100
0,0,5,12304,-100,-100
0,0,6,12304,-100,-100
0,0,7,12304,-100,-100
0,0,8,12304,-100,-100
0,0,9,2544,-100,-100
1,1,-1,112208,0.140711479,0.141667
1,1,0,12304,-100,-100
1,1,1,12304,-100,-100
1,1,2,12304,-100,-100
1,1,3,12304,-100,-100
1,1,4,12304,-100,-100
1,1,5,12304,-100,-100
1,1,6,12304,-100,-100
1,1,7,12304,-100,-100
1,1,8,12304,-100,-100
1,1,9,4512,-100,-100
1,4,-1,121376,0.295969723,0.297917
1,4,0,12304,-100,-100
1,4,1,12304,-100,-100
1,4,2,12304,-100,-100
1,4,3,12304,-100,-100
1,4,4,12304,-100,-100
1,4,5,12304,-100,-100
1,4,6,12304,-100,-100
1,4,7,12304,-100,-100
1,4,8,12304,-100,-100
1,4,9,12304,-100,-100
1,4,10,1680,-100,-100
1,3,-1,138112,0.231918699,0.233333
1,3,0,12304,-100,-100
1,3,1,12304,-100,-100
1,3,2,12304,-100,-100
1,3,3,12304,-100,-100
1,3,4,12304,-100,-100
1,3,5,12304,-100,-100
1,3,6,12304,-100,-100
1,3,7,12304,-100,-100
1,3,8,12304,-100,-100
1,3,9,12304,-100,-100
1,3,10,12304,-100,-100
1,3,11,6416,-100,-100
0,5,-1,151472,0.375,0.375
0,5,0,12304,-100,-100
0,5,1,12304,-100,-100
0,5,2,12304,-100,-100
0,5,3,12304,-100,-100
0,5,4,12304,-100,-100
0,5,5,12304,-100,-100
0,5,6,12304,-100,-100
0,5,7,12304,-100,-100
0,5,8,12304,-100,-100
0,5,9,12304,-100,-100
0,5,10,12304,-100,-100
0,5,11,12304,-100,-100
0,5,12,7776,-100,-100
1,7,-1,157800,0.469729458,0.470833
1,7,0,12304,-100,-100
1,7,1,12304,-100,-100
1,7,2,12304,-100,-100
1,7,3,12304,-100,-100
1,7,4,12304,-100,-100
1,7,5,12304,-100,-100
1,7,6,12304,-100,-100
1,7,7,12304,-100,-100
1,7,8,12304,-100,-100
1,7,9,12304,-100,-100
1,7,10,12304,-100,-100
1,7,11,12304,-100,-100
1,7,12,12304,-100,-100
1,7,13,2104,-100,-100
1,9,-1,125592,0.593610745,0.59375
1,9,0,12304,-100,-100
1,9,1,12304,-100,-100
1,9,2,12304,-100,-100
1,9,3,12304,-100,-100
1,9,4,12304,-100,-100
1,9,5,12304,-100,-100
1,9,6,12304,-100,-100
1,9,7,12304,-100,-100
1,9,8,12304,-100,-100
1,9,9,12304,-100,-100
1,9,10,5896,-100,-100
1,12,-1,128656,0.748902232,0.75
1,12,0,12304,-100,-100
1,12,1,12304,-100,-100
1,12,2,12304,-100,-100
1,12,3,12304,-100,-100
1,12,4,12304,-100,-100
1,12,5,12304,-100,-100
1,12,6,12304,-100,-100
1,12,7,12304,-100,-100
1,12,8,12304,-100,-100
1,12,9,12304,-100,-100
1,12,10,8960,-100,-100
1,11,-1,151112,0.673061591,0.675
1,11,0,12304,-100,-100
1,11,1,12304,-100,-100
1,11,2,12304,-100,-100
1,11,3,12304,-100,-100
1,11,4,12304,-100,-100
1,11,5,12304,-100,-100
1,11,6,12304,-100,-100
1,11,7,12304,-100,-100
1,11,8,12304,-100,-100
1,11,9,12304,-100,-100
1,11,10,12304,-100,-100
1,11,11,12304,-100,-100
1,11,12,7416,-100,-100
0,13,-1,157464,0.827083,0.827083
0,13,0,12304,-100,-100
0,13,1,12304,-100,-100
0,13,2,12304,-100,-100
0,13,3,12304,-100,-100
0,13,4,12304,-100,-100
0,13,5,12304,-100,-100
0,13,6,12304,-100,-100
0,13,7,12304,-100,-100
0,13,8,12304,-100,-100
0,13,9,12304,-100,-100
0,13,10,12304,-100,-100
0,13,11,12304,-100,-100
0,13,12,12304,-100,-100
0,13,13,1768,-100,-100
1,15,-1,149008,0.931745087,0.933333
1,15,0,12304,-100,-100
1,15,1,12304,-100,-100
1,15,2,12304,-100,-100
1,15,3,12304,-100,-100
1,15,4,12304,-100,-100
1,15,5,12304,-100,-100
1,15,6,12304,-100,-100
1,15,7,12304,-100,-100
1,15,8,12304,-100,-100
1,15,9,12304,-100,-100
1,15,10,12304,-100,-100
1,15,11,12304,-100,-100
1,15,12,5312,-100,-100
0,16,-1,155992,1.01042,1.01042
0,16,0,12304,-100,-100
0,16,1,12304,-100,-100
0,16,2,12304,-100,-100
0,16,3,12304,-100,-100
0,16,4,12304,-100,-100
0,16,5,12304,-100,-100
0,16,6,12304,-100,-100
0,16,7,12304,-100,-100
0,16,8,12304,-100,-100
0,16,9,12304,-100,-100
0,16,10,12304,-100,-100
0,16,11,12304,-100,-100
0,16,12,12296,-100,-100
1,18,-1,157536,1.100504145,1.10208
1,18,0,12304,-100,-100
1,18,1,12304,-100,-100
1,18,2,12304,-100,-100
1,18,3,12304,-100,-100
1,18,4,12304,-100,-100
1,18,5,12304,-100,-100
1,18,6,12304,-100,-100
1,18,7,12304,-100,-100
1,18,8,12304,-100,-100
1,18,9,12304,-100,-100
1,18,10,12304,-100,-100
1,18,11,12304,-100,-100
1,18,12,12304,-100,-100
1,18,13,1840,-100,-100
1,20,-1,134440,1.25420302,1.25625
1,20,0,12304,-100,-100
1,20,1,12304,-100,-100
1,20,2,12304,-100,-100
1,20,3,12304,-100,-100
1,20,4,12304,-100,-100
1,20,5,12304,-100,-100
1,20,6,12304,-100,-100
1,20,7,12304,-100,-100
1,20,8,12304,-100,-100
1,20,9,12304,-100,-100
1,20,10,12304,-100,-100
1,20,11,2744,-100,-100
0,21,-1,141192,1.33333,1.33333
0,21,0,12304,-100,-100
0,21,1,12304,-100,-100
0,21,2,12304,-100,-100
0,21,3,12304,-100,-100
0,21,4,12304,-100,-100
0,21,5,12304,-100,-100
0,21,6,12304,-100,-100
0,21,7,12304,-100,-100
0,21,8,12304,-100,-100
0,21,9,12304,-100,-100
0,21,10,12304,-100,-100
0,21,11,9496,-100,-100
0,22,-1,155304,1.41042,1.41042
0,22,0,12304,-100,-100
0,22,1,12304,-100,-100
0,22,2,12304,-100,-100
0,22,3,12304,-100,-100
0,22,4,12304,-100,-100
0,22,5,12304,-100,-100
0,22,6,12304,-100,-100
0,22,7,12304,-100,-100
0,22,8,12304,-100,-100
0,22,9,12304,-100,-100
0,22,10,12304,-100,-100
0,22,11,12304,-100,-100
0,22,12,11608,-100,-100
0,23,-1,186008,1.4875,1.4875
0,23,0,12304,-100,-100
0,23,1,12304,-100,-100
0,23,2,12304,-100,-100
0,23,3,12304,-100,-100
0,23,4,12304,-100,-100
0,23,5,12304,-100,-100
0,23,6,12304,-100,-100
0,23,7,12304,-100,-100
0,23,8,12304,-100,-100
0,23,9,12304,-100,-100
0,23,10,12304,-100,-100
0,23,11,12304,-100,-100
0,23,12,12304,-100,-100
0,23,13,12304,-100,-100
0,23,14,12304,-100,-100
0,23,15,6312,-100,-100
0,24,-1,148872,1.56458,1.56458
0,24,0,12304,-100,-100
0,24,1,12304,-100,-100
0,24,2,12304,-100,-100
0,24,3,12304,-100,-100
0,24,4,12304,-100,-100
0,24,5,12304,-100,-100
0,24,6,12304,-100,-100
0,24,7,12304,-100,-100
0,24,8,12304,-100,-100
0,24,9,12304,-100,-100
0,24,10,12304,-100,-100
0,24,11,12304,-100,-100
0,24,12,5176,-100,-100
1,26,-1,151280,1.664007277,1.66458
1,26,0,12304,-100,-100
1,26,1,12304,-100,-100
1,26,2,12304,-100,-100
1,26,3,12304,-100,-100
1,26,4,12304,-100,-100
1,26,5,12304,-100,-100
1,26,6,12304,-100,-100
1,26,7,12304,-100,-100
1,26,8,12304,-100,-100
1,26,9,12304,-100,-100
1,26,10,12304,-100,-100
1,26,11,12304,-100,-100
1,26,12,7584,-100,-100
0,27,-1,123064,1.74167,1.74167
0,27,0,12304,-100,-100
0,27,1,12304,-100,-100
0,27,2,12304,-100,-100
0,27,3,12304,-100,-100
0,27,4,12304,-100,-100
0,27,5,12304,-100,-100
0,27,6,12304,-100,-100
0,27,7,12304,-100,-100
0,27,8,12304,-100,-100
0,27,9,12304,-100,-100
0,27,10,3368,-100,-100
1,28,-1,150128,1.816879883,1.81875
1,28,0,12304,-100,-100
1,28,1,12304,-100,-100
1,28,2,12304,-100,-100
1,28,3,12304,-100,-100
1,28,4,12304,-100,-100
1,28,5,12304,-100,-100
1,28,6,12304,-100,-100
1,28,7,12304,-100,-100
1,28,8,12304,-100,-100
1,28,9,12304,-100,-100
1,28,10,12304,-100,-100
1,28,11,12304,-100,-100
1,28,12,6432,-100,-100
0,29,-1,185032,1.89583,1.89583
0,29,0,12304,-100,-100
0,29,1,12304,-100,-100
0,29,2,12304,-100,-100
0,29,3,12304,-100,-100
